ID_CCAA;CCAA;Sector;31/12/2018;31/12/2017;31/12/2016;31/12/2015;31/12/2014;31/12/2013;31/12/2012;31/12/2011;31/12/2010
12;GALICIA;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2032877;2023358;1980270;1965713;1825640;1883162;1941044;1977469;1955518
13;MADRID;Agricultura, ganadería, silvicultura y pesca;135292;133239;128366;141657;107776;173554;152624;116813;118095
13;MADRID;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;21432834;21165334;20629631;20016684;19041902;19540818;19497591;19997837;19017886
13;MADRID;Industria manufacturera;14744125;14639558;14137252;13878018;13558709;13532794;13121312;13496866;13161873
13;MADRID;Construcción;10640537;9645962;8771306;8288338;7843756;7870512;9304009;10829892;12333904
13;MADRID;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;51197477;48665299;46323301;44071657;41021294;40921855;42150030;42843141;41820173
13;MADRID;Información y comunicaciones;21925040;21108303;20683291;19857040;19230341;18877761;18936434;18923253;18880676
13;MADRID;Actividades financieras y de seguros;11864406;11221296;10739731;10608198;10198232;9398641;10686473;10782851;11528669
13;MADRID;Actividades inmobiliarias;18981399;18397482;18171158;18041326;18294230;18516020;18155781;17436746;16511955
13;MADRID;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;30907372;29313667;27504957;26072476;24802312;23442840;23550001;23981396;22834655
13;MADRID;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;32053420;30934203;30413206;29596609;28940794;29110364;28751078;29367151;29696760
13;MADRID;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;8943421;8905336;8747519;8680869;8153049;8107148;8297085;8500588;8510638
14;MURCIA (REGIÓN DE);Agricultura, ganadería, silvicultura y pesca;1600574;1586038;1530961;1409211;1169070;1245430;1055063;955170;1022186
14;MURCIA (REGIÓN DE);Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;5694308;5601752;5139644;5018675;4538749;4504545;4465095;4479071;4436025
14;MURCIA (REGIÓN DE);Industria manufacturera;4499590;4372559;4043936;3869252;3463217;3437781;3343629;3384510;3316303
14;MURCIA (REGIÓN DE);Construcción;1921102;1773979;1644722;1565212;1516608;1508044;1813929;2164920;2692043
14;MURCIA (REGIÓN DE);Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;6535525;6420656;6201420;6039782;5702212;5638460;5686241;5735622;5739653
14;MURCIA (REGIÓN DE);Información y comunicaciones;525160;510453;497658;489574;493164;528517;529785;570944;602888
14;MURCIA (REGIÓN DE);Actividades financieras y de seguros;936514;893188;861055;845965;819231;756433;882141;908105;966342
14;MURCIA (REGIÓN DE);Actividades inmobiliarias;2843783;2791118;2776096;2746022;2810301;2829202;2768393;2705282;2574852
14;MURCIA (REGIÓN DE);Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;1564716;1476294;1390119;1296166;1184247;1136106;1104161;1189220;1205697
14;MURCIA (REGIÓN DE);Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;5703923;5571961;5444379;5285559;5115462;5123798;5138406;5373465;5418708
14;MURCIA (REGIÓN DE);Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;951849;946786;925340;923901;868870;885855;915516;955065;970123
15;NAVARRA (COMUNIDAD FORAL);Agricultura, ganadería, silvicultura y pesca;625815;628544;631965;606376;595865;573876;588491;531170;550082
15;NAVARRA (COMUNIDAD FORAL);Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;5966311;5778601;5565884;5436789;5383766;5125368;4970421;5234909;5077599
15;NAVARRA (COMUNIDAD FORAL);Industria manufacturera;5364610;5158465;4993474;4899068;4910497;4613282;4417924;4675402;4537713
15;NAVARRA (COMUNIDAD FORAL);Construcción;1134674;1009489;943401;905835;835989;884008;1076675;1228035;1406313
15;NAVARRA (COMUNIDAD FORAL);Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;3602893;3509417;3413233;3162996;2963135;2909531;2959835;3021302;3027999
15;NAVARRA (COMUNIDAD FORAL);Información y comunicaciones;369546;360761;359277;352447;347430;364097;370189;404557;420326
15;NAVARRA (COMUNIDAD FORAL);Actividades financieras y de seguros;582512;541375;521061;508497;501595;462163;524419;532968;582925
